keyword,monthly_volume,cpc,competition,niche
전세자금대출 조건,33000,4200,0.82,금융
중도상환수수료 계산,8100,3800,0.55,금융
신용점수 올리는법,27000,2900,0.71,금융
개인회생 자격조건,14800,9500,0.88,법률
실손보험 청구방법,22000,3100,0.61,보험
자동차보험 할인특약 종류,5400,4600,0.48,보험
암보험 갱신형 비갱신형 차이,3600,5200,0.52,보험
종합소득세 신고방법 개인,49000,2400,0.75,세금
연말정산 월세공제 조건,18000,2100,0.58,세금
양도소득세 비과세 요건,12000,3300,0.69,세금
근로장려금 신청자격,74000,1200,0.66,정부지원
청년도약계좌 조건,60500,1800,0.73,정부지원
국민취업지원제도 신청방법,33000,1100,0.54,정부지원
실업급여 조건 2026,90500,1400,0.79,정부지원
임대차보호법 대항력,4400,4800,0.51,법률
상속포기 절차 기간,6600,7200,0.63,법률
전기차 보조금 지자체별,14800,2600,0.57,정부지원
건강보험료 산정기준,27000,1500,0.62,세금
퇴직금 계산방법,49500,1300,0.68,세금
주택청약 1순위 조건,40500,2200,0.77,부동산
로봇청소기 추천,33000,1900,0.84,리뷰
무선이어폰 가성비 추천,22000,1600,0.81,리뷰
제습기 추천 용량,18100,1700,0.72,리뷰
노트북 추천 사무용,27000,2100,0.86,리뷰
전기요금 절약 방법,14800,900,0.49,생활
에어컨 청소 셀프,12100,1100,0.44,생활
