event_date,preempt_date,event,seed_keyword,type,priority,note
2026-08-20,2026-08-13,KTX 추석 기차표 예매 시작,추석 기차표 예매,정책,10,8월 최대 트래픽 이벤트. 일주일 전 선점 필수
2026-08-25,2026-08-18,SRT 추석 기차표 예매 시작,SRT 추석 기차표,정책,10,KTX 다음 파도. 매진/취소표 파생 큼
2026-08-31,2026-08-05,고유가 피해지원금 포인트 사용 마감,고유가 지원금,정책,10,마감 임박 검색 폭증. 사용처/잔액조회 파생
2026-08-16,2026-08-09,2학기 개학,개학 준비,시즌,7,학용품 구매 키워드 쿠팡 연결
2026-08-10,2026-08-03,2학기 국가장학금 신청,2학기 국가장학금,정책,9,고단가. 소득분위/서류 파생 큼
2026-08-15,2026-08-08,광복절 대체공휴일,광복절 대체공휴일,시즌,6,단기 폭발형
2026-08-01,2026-08-01,세제개편안 발표,2026 세법개정안,금융,9,발표 당일 아침 korea.kr 확인. 고단가
2026-09-25,2026-08-20,추석 연휴 준비,추석 선물세트,시즌,8,쿠팡파트너스 최고 시즌. 9/24~27 연휴
2026-09-25,2026-08-25,추석 벌초 성묘,벌초 대행,시즌,6,지역 롱테일 확장 가능
2026-08-05,2026-08-01,여름 전기요금 폭탄,에어컨 전기요금,시즌,8,8월 검색 피크. 누진세 파생
2026-08-10,2026-08-01,태풍 대비,태풍 대비,사고,7,실시간 발생형. 상시 대기
2026-08-05,2026-08-01,휴가철 항공권 특가,항공권 최저가,시즌,7,제휴 연결 가능
2026-08-20,2026-08-13,근로장려금 지급,근로장려금 지급,정책,9,고단가 상시 강자
2026-08-25,2026-08-18,건강보험료 정산,건강보험료 정산,금융,9,8월 정산 시즌. 고단가
2026-08-31,2026-08-24,주민세 납부,주민세 납부,정책,7,8월 정기분
2026-08-16,2026-08-09,자동차세 연납,자동차세 납부,정책,7,
2026-08-10,2026-08-03,폭염 온열질환,온열질환,사고,6,의료 고단가 인접
2026-08-31,2026-08-24,청년도약계좌 갈아타기,청년도약계좌,금융,9,채널 실사례 키워드. 고단가
2026-08-15,2026-08-08,실업급여 신청,실업급여,정책,10,검색량 최상위 고단가
2026-08-20,2026-08-13,종합소득세 중간예납,종합소득세 중간예납,금융,8,11월이지만 8월 예고 검색
